Taimekaitsevahendi ID,Kasutusala,Kahjustaja,Kulunorm 1,Kulunorm 2,Ühik,Lahuse kontsentratsioon 1,Lahuse kontsentratsioon 2,Kasutamise koht,Piirangud,Töötlemise aeg,Tööoode,Ooteaeg,Töötlemiskordi kasvuperioodil,Töötlemiste intervall
513,Mittepõllumajanduslikud alad,Nälkjad(1LIMAF);Teod(1GASTC),6.000,25.000,kg/ha,,,Avamaa,,,,,1-4,
513,Söödavad kultuurid,Teod(1GASTC);Nälkjad(1LIMAF),6.000,25.000,kg/ha,,,Kasvuhoone,,,,,1-4,
513,Mittesöödavad kultuurid,Nälkjad(1LIMAF);Teod(1GASTC),6.000,25.000,kg/ha,,,Avamaa,,,,,1-4,
513,Mittesöödavad kultuurid,Nälkjad(1LIMAF);Teod(1GASTC),6.000,25.000,kg/ha,,,Kasvuhoone,,,,,1-4,
513,Söödavad kultuurid,Nälkjad(1LIMAF);Teod(1GASTC),6.000,25.000,kg/ha,,,Avamaa,,,,,1-4,
472,Põllumajanduslikud alad,Teod(1GASTC);Nälkjad(1LIMAF),,7.000,kg/ha,,,Avamaa,,,,,1-4,
472,Mittepõllumajanduslikud alad,Teod(1GASTC);Nälkjad(1LIMAF),,7.000,kg/ha,,,Avamaa,,,,,1-4,
472,Mittesöödavad kultuurid,Teod(1GASTC);Nälkjad(1LIMAF),,7.000,kg/ha,,,Kasvuhoone,,,,,1-4,
472,Söödavad kultuurid,Nälkjad(1LIMAF);Teod(1GASTC),,7.000,kg/ha,,,Kasvuhoone,,,,,1-4,
00931,Suvirukis,Pruunrooste (PUCCRE);Kõrreliste äärislaiksus(RHYNSE);Kollane rooste(PUCCST),,1.500,l/ha,,,Avamaa,Veeorganismide kaitsmiseks pidada kinni 20 m puhvervööndist veekogude piirist kombinatsioonis 50 % triivi vähendavate otsakutega või 10 m puhvervööndist kombinatsioonis 75 % triivi vähendavate otsakutega. Toodet ei ole lubatud kasutada triivi vähendavate otsakuteta.,,,,1,
00931,Suvinisu,Kõrreliste helelaiksus(SEPTTR);Nisu-pruunrooste(PUCCRT);Kollane rooste(PUCCST),,1.500,l/ha,,,Avamaa,Veeorganismide kaitsmiseks pidada kinni 20 m puhvervööndist veekogude piirist kombinatsioonis 50 % triivi vähendavate otsakutega või 10 m puhvervööndist kombinatsioonis 75 % triivi vähendavate otsakutega. Toodet ei ole lubatud kasutada triivi vähendavate otsakuteta.,,,,1,
00931,Talirukis,Pruunrooste (PUCCRE);Kõrreliste äärislaiksus(RHYNSE);Kollane rooste(PUCCST),,1.500,l/ha,,,Avamaa,Veeorganismide kaitsmiseks pidada kinni 20 m puhvervööndist veekogude piirist kombinatsioonis 50 % triivi vähendavate otsakutega või 10 m puhvervööndist kombinatsioonis 75 % triivi vähendavate otsakutega. Toodet ei ole lubatud kasutada triivi vähendavate otsakuteta.,,,,1,
00931,Suvitritikale,Kõrreliste helelaiksus(SEPTTR);Helelaiksus pähikul ja lehel(LEPTNO);Kollane rooste(PUCCST),,1.500,l/ha,,,Avamaa,Veeorganismide kaitsmiseks pidada kinni 20 m puhvervööndist veekogude piirist kombinatsioonis 50 % triivi vähendavate otsakutega või 10 m puhvervööndist kombinatsioonis 75 % triivi vähendavate otsakutega. Toodet ei ole lubatud kasutada triivi vähendavate otsakuteta.,,,,1,
00931,Talitritikale,Kõrreliste helelaiksus(SEPTTR);Helelaiksus pähikul ja lehel(LEPTNO);Kollane rooste(PUCCST),,1.500,l/ha,,,Avamaa,Veeorganismide kaitsmiseks pidada kinni 20 m puhvervööndist veekogude piirist kombinatsioonis 50 % triivi vähendavate otsakutega või 10 m puhvervööndist kombinatsioonis 75 % triivi vähendavate otsakutega. Toodet ei ole lubatud kasutada triivi vähendavate otsakuteta.,,,,1,
00931,Talinisu,Kõrreliste helelaiksus(SEPTTR);Nisu-pruunrooste(PUCCRT);Kollane rooste(PUCCST),,1.500,l/ha,,,Avamaa,Veeorganismide kaitsmiseks pidada kinni 20 m puhvervööndist veekogude piirist kombinatsioonis 50 % triivi vähendavate otsakutega või 10 m puhvervööndist kombinatsioonis 75 % triivi vähendavate otsakutega. Toodet ei ole lubatud kasutada triivi vähendavate otsakuteta.,,,,1,
00931,Durumnisu,Kõrreliste helelaiksus(SEPTTR);Nisu-pruunrooste(PUCCRT);Kollane rooste(PUCCST),,1.500,l/ha,,,Avamaa,Veeorganismide kaitsmiseks pidada kinni 20 m puhvervööndist veekogude piirist kombinatsioonis 50 % triivi vähendavate otsakutega või 10 m puhvervööndist kombinatsioonis 75 % triivi vähendavate otsakutega. Toodet ei ole lubatud kasutada triivi vähendavate otsakuteta.,,,,1,
00931,Speltanisu,Kõrreliste helelaiksus(SEPTTR);Nisu-pruunrooste(PUCCRT);Kollane rooste(PUCCST),,1.500,l/ha,,,Avamaa,Veeorganismide kaitsmiseks pidada kinni 20 m puhvervööndist veekogude piirist kombinatsioonis 50 % triivi vähendavate otsakutega või 10 m puhvervööndist kombinatsioonis 75 % triivi vähendavate otsakutega. Toodet ei ole lubatud kasutada triivi vähendavate otsakuteta.,,,,1,
459,Mittesöödavad kultuurid,Nälkjad(1LIMAF);Teod(1GASTC),12.000,25.000,kg/ha,,,Kasvuhoone,,,,,1-4,
459,Söödavad kultuurid,Nälkjad(1LIMAF);Teod(1GASTC),12.000,25.000,kg/ha,,,Kasvuhoone,,,,,1-4,
459,Söödavad kultuurid,Teod(1GASTC);Nälkjad(1LIMAF),12.000,25.000,kg/ha,,,Avamaa,,,,,1-4,
459,Mittesöödavad kultuurid,Teod(1GASTC);Nälkjad(1LIMAF),12.000,25.000,kg/ha,,,Avamaa,,,,,1-4,
459,Mittepõllumajanduslikud alad,Teod(1GASTC);Nälkjad(1LIMAF),12.000,25.000,kg/ha,,,Avamaa,,,,,1-4,
00895,Dekoratiivtaimed ,Lühiealised  kõrrelised umbrohud(GGGAN);Laialehelised umbrohud,,1.000,l/10 m2,,,Avamaa,,,,,6,14
00895,Dekoratiivtaimed ,Samblad(1BRYP ),,1.000,l/10 m2,,,Avamaa,,,,,4,14
00895,Köögiviljad,Samblad(1BRYP ),,1.000,l/10 m2,,,Avamaa,,,,,4,14
00895,Köögiviljad,Lühiealised  kõrrelised umbrohud(GGGAN);Laialehelised umbrohud,,1.000,l/10 m2,,,Avamaa,,,,,6,14
00895,Mittepõllumajanduslikud alad,Samblad(1BRYP ),,1.000,l/10 m2,,,Avamaa,,,,,4,14
00895,Mittepõllumajanduslikud alad,Lühiealised  kõrrelised umbrohud(GGGAN);Laialehelised umbrohud,,1.000,l/10 m2,,,Avamaa,,,,,6,14
00896,Mittepõllumajanduslikud alad,Samblad(1BRYP ),22.500,,l/ha,,,Avamaa,,,,,2,14
00896,Mittepõllumajanduslikud alad,Lühiealised  kõrrelised umbrohud(GGGAN);Laialehelised umbrohud,22.500,,l/ha,,,Avamaa,,,,,4,14
00918,Suvinisu,Kõrreliste helelaiksus(SEPTTR),,0.700,l/ha,,,Avamaa,,,,56,1,
00918,Suvinisu,Teravilja silmlaiksus(PSDCHE),,0.700,l/ha,,,Avamaa,,,,56,1,
00918,Talinisu,Kõrreliste helelaiksus(SEPTTR),,0.700,l/ha,,,Avamaa,,,,56,1,
00918,Talinisu,Teravilja silmlaiksus(PSDCHE),,0.700,l/ha,,,Avamaa,,,,56,1,
00918,Suvioder,Kõrreliste võrklaiksus(PYRNTE),,0.700,l/ha,,,Avamaa,,,,56,1,
00918,Talioder,Kõrreliste võrklaiksus(PYRNTE),,0.700,l/ha,,,Avamaa,,,,56,1,
00905,Suvinisu,Rukki-kastehein(APESV);Tuulekaer(AVEFA);Kaheidulehelised umbrohud(TTTDD),,1.500,l/ha,,,Avamaa,Mittepritsitav puhvertsoon 5 m veepiirist veeorganismide kaitseks;Mittesihtmärktaimede kaitsmiseks pidada kinni mittepritsitavast puhvervööndist 5 m põllumajanduses mittekasutatavast maast või kasuta 75% triivi vähendavaid otsikuid.,,,,1,
00905,Suvinisu,Põld-rebasesaba(ALOMY);Raiheinad(1LOLG);Kaheidulehelised umbrohud(TTTDD),,2.000,l/ha,,,Avamaa,Mittepritsitav puhvertsoon 5 m veepiirist veeorganismide kaitseks;Mittesihtmärktaimede kaitsmiseks pidada kinni mittepritsitavast puhvervööndist 5 m põllumajanduses mittekasutatavast maast või kasuta 75% triivi vähendavaid otsikuid.,,,,1,
00905,Talirukis,Rukki-kastehein(APESV);Tuulekaer(AVEFA);Kaheidulehelised umbrohud(TTTDD),,1.500,l/ha,,,Avamaa,Mittesihtmärktaimede kaitsmiseks pidada kinni mittepritsitavast puhvervööndist 5 m põllumajanduses mittekasutatavast maast või kasuta 75% triivi vähendavaid otsikuid.;Mittepritsitav puhvertsoon 5 m veepiirist veeorganismide kaitseks,,,,1,
00905,Suvioder,Rukki-kastehein(APESV);Tuulekaer(AVEFA);Kaheidulehelised umbrohud(TTTDD),,1.500,l/ha,,,Avamaa,Mittesihtmärktaimede kaitsmiseks pidada kinni mittepritsitavast puhvervööndist 5 m põllumajanduses mittekasutatavast maast või kasuta 75% triivi vähendavaid otsikuid.;Mittepritsitav puhvertsoon 5 m veepiirist veeorganismide kaitseks,,,,1,
00905,Suvioder,Põld-rebasesaba(ALOMY);Raiheinad(1LOLG);Kaheidulehelised umbrohud(TTTDD),,2.000,l/ha,,,Avamaa,Mittesihtmärktaimede kaitsmiseks pidada kinni mittepritsitavast puhvervööndist 5 m põllumajanduses mittekasutatavast maast või kasuta 75% triivi vähendavaid otsikuid.;Mittepritsitav puhvertsoon 5 m veepiirist veeorganismide kaitseks,,,,1,
00905,Talinisu,Põld-rebasesaba(ALOMY);Raiheinad(1LOLG);Kaheidulehelised umbrohud(TTTDD),,2.000,l/ha,,,Avamaa,Mittesihtmärktaimede kaitsmiseks pidada kinni mittepritsitavast puhvervööndist 5 m põllumajanduses mittekasutatavast maast või kasuta 75% triivi vähendavaid otsikuid.;Mittepritsitav puhvertsoon 5 m veepiirist veeorganismide kaitseks,,,,1,
00905,Talinisu,Rukki-kastehein(APESV);Tuulekaer(AVEFA);Kaheidulehelised umbrohud(TTTDD),,1.500,l/ha,,,Avamaa,Mittepritsitav puhvertsoon 5 m veepiirist veeorganismide kaitseks;Mittesihtmärktaimede kaitsmiseks pidada kinni mittepritsitavast puhvervööndist 5 m põllumajanduses mittekasutatavast maast või kasuta 75% triivi vähendavaid otsikuid.,,,,1,
00905,Talitritikale,Rukki-kastehein(APESV);Tuulekaer(AVEFA);Kaheidulehelised umbrohud(TTTDD),,1.500,l/ha,,,Avamaa,Mittesihtmärktaimede kaitsmiseks pidada kinni mittepritsitavast puhvervööndist 5 m põllumajanduses mittekasutatavast maast või kasuta 75% triivi vähendavaid otsikuid.;Mittepritsitav puhvertsoon 5 m veepiirist veeorganismide kaitseks,,,,1,
00905,Talioder,Põld-rebasesaba(ALOMY);Raiheinad(1LOLG);Kaheidulehelised umbrohud(TTTDD),,2.000,l/ha,,,Avamaa,Mittepritsitav puhvertsoon 5 m veepiirist veeorganismide kaitseks;Mittesihtmärktaimede kaitsmiseks pidada kinni mittepritsitavast puhvervööndist 5 m põllumajanduses mittekasutatavast maast või kasuta 75% triivi vähendavaid otsikuid.,,,,1,
00905,Talioder,Rukki-kastehein(APESV);Tuulekaer(AVEFA);Kaheidulehelised umbrohud(TTTDD),,1.500,l/ha,,,Avamaa,Mittesihtmärktaimede kaitsmiseks pidada kinni mittepritsitavast puhvervööndist 5 m põllumajanduses mittekasutatavast maast või kasuta 75% triivi vähendavaid otsikuid.;Mittepritsitav puhvertsoon 5 m veepiirist veeorganismide kaitseks,,,,1,
