Taimekaitsevahendi ID,Taimekaitsevahendi nimi,Taimekaitsevahendi liik,Taimekaitsevahendi alamliik,Preparatiivne vorm,Loa valdaja,Loa valdaja aadress,On keemiline,Registreerimise number,Registreerimise kuupäev,Turulelaskmise loa lõpptähtaeg,Müüdav tunnistusega,Ohutuslaused hoiatuslaused,Riskilaused ohulaused,Ohtlikkuse kategooria,Ohumärgid piktogrammid ja tunnussõna,Ohtlikud ained etiketil,Taimekaitsevahendi tootja aadress,Taimekaitsevahendi pakendaja,Pakendi suurus,Vabamüügis olevad pakendid,EL kombineeritud nomenklatuur
513,NEU 1186 M,Molluskitsiid,,Kasutusvalmis sööt,W. NEUDORFF GMBH KG,"An der Mühle 3, 31860 Emmerthal, Germany",True,513,2014-01-28,2031-12-31,True,SP1 Vältida vahendi või selle pakendi vette sattumist (Seadmeid pinnavee lähedal mitte puhastada/Vältida saastamist läbi lauda ja teede drenaažide).;P103 Enne kasutamist tutvuda etiketil oleva infoga.;P102 Hoida lastele kättesaamatus kohas.;P101 Arsti poole pöördudes võtta kaasa toote pekend või etikett.,EUH401 Inimeste tervise ja keskkonna ohustamise vältimiseks järgida kasutusjuhendit,Klassifikatsioon puudub,Puudub,,"1)  Otto-Brenner Straße 13-15, 21337 Lüneburg, Germany; 2) Langes Feld 20, 31860 Emmerthal, Germany",1) W. Neudorff GmbH KG; 2) W. Neudorff GmbH KG,,"150 g kuni 2500 g karbid, 200 g kuni 1000 g karbid, 500 g - 5500 g kotid, 450 g – 1500 g HDPE pudelid",38089990
472,SLUXX HP,Molluskitsiid,,Kasutusvalmis sööt,W. NEUDORFF GMBH KG,"An der Mühle 3, 31860 Emmerthal",True,472,2012-07-13,2031-12-31,True,SP1 Vältida vahendi või selle pakendi vette sattumist (Seadmeid pinnavee lähedal mitte puhastada/Vältida saastamist läbi lauda ja teede drenaažide).;P102 Hoida lastele kättesaamatus kohas.,EUH401 Inimeste tervise ja keskkonna ohustamise vältimiseks järgida kasutusjuhendit,Klassifikatsioon puudub,Puudub,-,"Otto-Brenner Straße 13-15, 21337 Lüneburg, Germany",W. Neudorff GmbH KG,"2,5 kg, 5 kg, 10 kg, 15 kg, 20 kg, 25 kg, 500 kg, 960-1000 kg",,38089990
00931,Questar,Fungitsiid,,Emulsioonikontsentraat,CORTEVA AGRISCIENCE DENMARK A/S,,True,00931,2025-07-28,2029-10-11,True,"P280 Kanda kaitsekindaid, kaitserõivastust, kaitseprille või kaitsemaski.;SPe3 Veeorganismide kaitsmiseks pidada kinni 20 m puhvervööndist veekogude piirist kombinatsioonis 50 % triivi vähendavate otsakutega või 10 m puhvervööndist kombinatsioonis 75 % triivi vähendavate otsakutega. Toodet ei ole lubatud kasutada triivi vähendavate otsakuteta.;P305+P351+P338+ P310 SILMA SATTUMISE KORRAL: loputada mitme minuti jooksul ettevaatlikult veega. Eemaldada kontaktläätsed, kui neid kasutatakse ja kui neid on kerge eemaldada. Loputada veel kord. Võtta viivitamata ühendust MÜRGISTUSTEABEKESKUSE või arstiga.;P261 Vältida udu/auru/pihustatud aine sissehingamist.;P312 Halva enesetunde korral võtta ühendust MÜRGISTUSTEABEKESKUSE või arstiga.;P403+P233 Hoida hästi ventileeritavas kohas. Hoida mahuti tihedalt suletuna. ;P264 Pärast käitlemist pesta hoolega käsi ja nägu.;SP1 Vältida vahendi või selle pakendi vette sattumist (Seadmeid pinnavee lähedal mitte puhastada/Vältida saastamist läbi lauda ja teede drenaažide).","H410 Väga mürgine veeorganismidele, pikaajaline toime;H318 Põhjustab raskeid silmakahjustusi;H335 Võib põhjustada hingamisteede ärritust;H315 Põhjustab nahaärritust;EUH401 Inimeste tervise ja keskkonna ohustamise vältimiseks järgida kasutusjuhendit",Mürgisus sihtelundi suhtes – ühekordne kokkupuude - STOT SE 3;Nahasöövitus/-ärritus - Skin Irrit. 2;Ohtlik vesikeskkonnale - Aquatic Acute 1;Ohtlik vesikeskkonnale - Aquatic Chronic 1;Raske silmakahjustus/silmade ärritus - Eye Dam. 1,GHS07;GHS09;GHS05;Ettevaatust,"N,N-dimetüüldekaan-1-amiidi ja N,N-dimetüüloktaanamiidi reaktsioonisegu; Tsükloheksanoon; Benseensulfoonhappe 4-C10-14-alküülderivaadid, kaltsiumsoolad; Alkoholid, C11-14-iso-, C13-rikas, etoksüülitud; 2-etüülheksaan-1-ool","Langebrogade 3H, DK-1411 
Kobenhavn K, Taani",Corteva Agriscience Denmark A/S,"0.25 L, 0.5 L, 1 L, 2 L, 3 L, 5 L, 7.5 L, 10 L, 15 L, 20 L f-HDPE pudel või kanister
0.1 L, 0.5 L, 1 L, 2 L, 3 L, 5 L, 5.2 L, 6.2 L, 7 L, 7.5 L, 10 L, 15 L COEX HDPE/PA pudel või kanister",,38089250
459,Ferramol,Molluskitsiid,,Kasutusvalmis sööt,W. NEUDORFF GMBH KG,"An der Mühle 3, 31860 Emmerthal, Germany",True,459,2012-04-18,2031-12-31,True,SP1 Vältida vahendi või selle pakendi vette sattumist (Seadmeid pinnavee lähedal mitte puhastada/Vältida saastamist läbi lauda ja teede drenaažide).;P102 Hoida lastele kättesaamatus kohas.,EUH401 Inimeste tervise ja keskkonna ohustamise vältimiseks järgida kasutusjuhendit,Klassifikatsioon puudub,Puudub,,"Otto-Brenner Straße 13-15, 21337 Lüneburg, Germany",W. Neudorff GmbH KG,,"600 g – 2700 g kotid, 500 g – 5500 g kotid, 650 g – 1500 g HDPE pudel",38089990
00895,Beloukha Garden RTU,Herbitsiid,,Mikroemulsioon,CERTIS BELCHIM B.V.,,True,00895,2024-11-26,2027-12-01,True,SP1 Vältida vahendi või selle pakendi vette sattumist (Seadmeid pinnavee lähedal mitte puhastada/Vältida saastamist läbi lauda ja teede drenaažide).,EUH401 Inimeste tervise ja keskkonna ohustamise vältimiseks järgida kasutusjuhendit,Klassifikatsioon puudub,,,"Stadsplateau 16, 3521 AZ Utrecht, The Netherlands",Certis Belchim B.V.,"500 mL ; 750 mL ; 1000 mL PET või HDPE pihustipudel
1 L ; 1,5 L ; 3 L ; 5 L ; 10 L ; 15 L ; HDPE pudel või kanister","500 mL ; 750 mL ; 1000 mL PET või HDPE pihustipudel
1 L ; 1,5 L ; 3 L ; 5 L ; 10 L ; 15 L ; HDPE pudel või kanister",38089190
00896,Katoun Gold,Herbitsiid,,Emulsioonikontsentraat,CERTIS BELCHIM B.V.,,True,00896,2024-11-26,2027-12-01,True,P264 Pärast käitlemist pesta hoolega vahendiga kokkupuutunud kehaosi.;P280 Kanda kaitsekindaid ja kaitsemaski.;P337+P313 Kui silmade ärritus ei möödu: pöörduda arsti poole. ;SP1 Vältida vahendi või selle pakendi vette sattumist (Seadmeid pinnavee lähedal mitte puhastada/Vältida saastamist läbi lauda ja teede drenaažide).,"H315 Põhjustab nahaärritust;H319 Põhjustab tugevat silmade ärritust;H412 Ohtlik veeorganismidele, pikaajaline toime",Nahasöövitus/-ärritus - Skin Irrit. 2;Raske silmakahjustus/silmade ärritus - Eye Irrit. 2;Ohtlik vesikeskkonnale - Aquatic Chronic 3,GHS07;Hoiatus,pelargoonhape,"Stadsplateau 16, 3521 AZ Utrecht, The Netherlands",Certis Belchim B.V.,"1 L ; 1,5 L ; 2,5 L ; 3 L ; 5 L ; 10 L ; 15 L ; f-HPDE mahuti",,38089190
00918,Entargo,Fungitsiid,,Suspensioonikontsentraat,BASF UAB,,True,00918,2025-05-12,2027-04-15,True,"P261 Vältida udu/auru/pihustatud aine sissehingamist.;P333+P313 Nahaärrituse või lööbe korral: pöörduda arsti poole. ;P280 Kanda kaitsekindaid, kaitserõivastust ja kaitsemaski.;P362+P364 Võtta seljast saastunud rõivad ja pesta enne korduskasutust;SP1 Vältida vahendi või selle pakendi vette sattumist (Seadmeid pinnavee lähedal mitte puhastada/Vältida saastamist läbi lauda ja teede drenaažide).;P391 Mahavoolanud toode kokku koguda. ","H317 Võib põhjustada allergilist nahareaktsiooni;EUH401 Inimeste tervise ja keskkonna ohustamise vältimiseks järgida kasutusjuhendit;H411 Mürgine veeorganismidele, pikaajaline toime",Hingamisteede/naha sensibiliseerimine - Skin Sens. 1A;Ohtlik vesikeskkonnale - Aquatic Chronic 2,GHS07;GHS09;Hoiatus,"1,2-bensisotiasool-3-oon; 2-metüülisotiasool-3(2H)-oon","Carl-Bosch-Strasse 38, 67056 Ludwigshafen, Germany",BASF SE,"1 L pudel, 5L, 10L HDPE või F-HDPE mahuti",,38089220
00905,Timeline FX,Herbitsiid,,Emulsioonikontsentraat,SYNGENTA POLSKA SP. Z.O.O.,"Ul.Szamocka 8, 01-748 Warszawa, Poola",True,00905,2025-02-21,2027-06-30,True,"P391 Mahavoolanud toode kokku koguda. ;SP1 Vältida vahendi või selle pakendi vette sattumist (Seadmeid pinnavee lähedal mitte puhastada/Vältida saastamist läbi lauda ja teede drenaažide).;SPe3 Veeorganismide kaitsmiseks pidada kinni mittepritsitavast puhvervööndist 5 m pinnaveekogudest.;SPe3 Mittesihtmärktaimede kaitsmiseks pidada kinni mittepritsitavast puhvervööndist 5 m põllumajanduses mittekasutatavast maast või kasuta 75% triivi vähendavaid otsikuid.;P202 Mitte käidelda enne ohutusnõuetega tutvumist ja nendest arusaamist.;P261 Vältida udu/auru/pihustatud aine sissehingamist.;P280 Kanda kaitsekindaid, kaitserõivastust ja kaitsemaski.;P305+P351+P338 SILMA SATTUMISE KORRAL: loputada mitme minuti jooksul ettevaatlikult veega. Eemaldada kontaktläätsed, kui neid kasutatakse ja kui neid on kerge eemaldada. Loputada veel kord. ;P308+P313 Kokkupuute või kokkupuutekahtluse korral: pöörduda arsti poole. ;P333+P313 Nahaärrituse või lööbe korral: pöörduda arsti poole. ;P337+P313 Kui silmade ärritus ei möödu: pöörduda arsti poole. ;P362+P364 Võtta seljast saastunud rõivad ja pesta enne korduskasutust;P405 Hoida luku taga. ","H410 Väga mürgine veeorganismidele, pikaajaline toime;H361d Arvatavasti kahjustab loodet;H319 Põhjustab tugevat silmade ärritust;H317 Võib põhjustada allergilist nahareaktsiooni;EUH401 Inimeste tervise ja keskkonna ohustamise vältimiseks järgida kasutusjuhendit",Reproduktiivtoksilisus - Repr. 2;Raske silmakahjustus/silmade ärritus - Eye Irrit. 2;Hingamisteede/naha sensibiliseerimine - Skin Sens. 1;Ohtlik vesikeskkonnale - Aquatic Acute 1;Ohtlik vesikeskkonnale - Aquatic Chronic 1,GHS07;GHS08;GHS09;Hoiatus,"meksüülklokvintotseet, pinoksadeen","WRO B5.3.130-33, CH-4002 Basel, Switzerland",Syngenta Crop Protection AG,1 L ; 5 L ; 10 L ; 15 L ; 20 L pudel või kanister (HDPE või HDPE/PA),,38089290
00923,Stabilan 400 SL,Kasvuregulaator,,Vesilahus/Vees lahustuv kontsentraat,NUFARM  GMBH & CO KG,,True,00923,2025-05-23,2028-02-28,True,"P234 Hoida üksnes originaalpakendis. ;P273 Vältida sattumist keskkonda. ;P391 Mahavoolanud toode kokku koguda. ;P264 Pärast käitlemist pesta hoolega vahendiga kokkupuutunud kehaosi.;P280 Kanda kaitsekindaid, kaitserõivastust, kaitseprille või kaitsemaski.;P312 Halva enesetunde korral võtta ühendust MÜRGISTUSTEABEKESKUSE või arstiga.;SP1 Vältida vahendi või selle pakendi vette sattumist (Seadmeid pinnavee lähedal mitte puhastada/Vältida saastamist läbi lauda ja teede drenaažide).","H411 Mürgine veeorganismidele, pikaajaline toime;H290 Võib söövitada metalle;H302+H312 Allaneelamisel või nahale sattumisel kahjulik;EUH401 Inimeste tervise ja keskkonna ohustamise vältimiseks järgida kasutusjuhendit",Metalli söövitav aine ja segu - Met. Corr. 1;Äge mürgisus - Acute Tox. 4;Ohtlik vesikeskkonnale - Aquatic Chronic 2,GHS05;GHS07;GHS09;Hoiatus,,"St.-Peter-Str. 25, A-4021 Linz, Austria",Nufarm GmbH & Co KG,"1 L, 5 L, 10 L, 15 L , 20 L, 220 L, 1000 L  HDPE mahuti",,38089290
00912,Cleravo Flex,Herbitsiid,,Vesilahus/Vees lahustuv kontsentraat,BASF UAB,", Spaudos str. 6-1, LT-05132 Vilnius, Lithuania",True,00912,2025-03-14,2027-12-31,True,"P391 Mahavoolanud toode kokku koguda. ;SP1 Vältida vahendi või selle pakendi vette sattumist (Seadmeid pinnavee lähedal mitte puhastada/Vältida saastamist läbi lauda ja teede drenaažide).;SPe1 Mullaorganismide kaitsmiseks mitte kasutada seda või ükskõik millist muud vahendit, mis sisaldab toimeainet kvinmeraak rohkem kui üks kord kolme aasta jooksul.;SPe3 Mittesihtmärktaimede kaitsmiseks pidada kinni mittepritsitavast puhvervööndist 5 m põllumajanduses mittekasutatavast maast ja külgnevatest kultuuridest või kasutada 75% triivi vähendavaid otsakuid.;P260 Udu/auru mitte sisse hingata.;P301+P330+P331 ALLANEELAMISE KORRAL: loputada suud. MITTE kutsuda esile oksendamist. ;P310 Võtta viivitamata ühendust MÜRGISTUSTEABEKESKUSE või arstiga. ;P280 Kanda kaitsekindaid, kaitserõivastust, kaitseprille või kaitsemaski.;P405 Hoida luku taga. ;P303+P361+P353+P310 NAHALE (või juustele) SATTUMISE KORRAL: võtta viivitamata kõik saastunud rõivad seljast. Loputada nahka veega. Võtta viivitamata ühendust MÜRGISTUSTEABEKESKUSE või arstiga.;P305+P351+P338 SILMA SATTUMISE KORRAL: loputada mitme minuti jooksul ettevaatlikult veega. Eemaldada kontaktläätsed, kui neid kasutatakse ja kui neid on kerge eemaldada. Loputada veel kord. ;SPe1 Põhjavee kaitsmiseks pidada kinni kultuurile, kulunormile ja kasutusajale vastavast kasutuspiirangust, mille leiab infolehel olevast tabelist või registrist toote kasutamise kirje alt.","H411 Mürgine veeorganismidele, pikaajaline toime;EUH401 Inimeste tervise ja keskkonna ohustamise vältimiseks järgida kasutusjuhendit;H314 Põhjustab rasket nahasöövitust ja silmakahjustusi;H317 Võib põhjustada allergilist nahareaktsiooni",Nahasöövitus/-ärritus - Skin Corr. 1;Hingamisteede/naha sensibiliseerimine - Skin Sens. 1;Ohtlik vesikeskkonnale - Aquatic Acute 1;Ohtlik vesikeskkonnale - Aquatic Chronic 2,GHS05;GHS07;GHS09;Ettevaatust,"kvinmeraak, imasamoks, aminopüraliid, bensüülalkohol","D-67056 Ludwigshafen, Germany",BASF SE,"0,15 L; 0,25 L; 0,5 L; 1 L pudel HDPE
5 L; 10 L; 20 L kanister HDPE",,38089315
