Taimekaitsevahendi ID,Toimeaine,Sisaldus,Ühik
513,Raudfosfaat,19.8000,g/kg
472,Raudfosfaat,29.7000,g/kg
00931,Fenpikoksamiid,50.0000,g/l
459,Raudfosfaat,9.9000,g/kg
00895,Pelargoonhape,21.7000,g/l
00896,Pelargoonhape,500.0000,g/l
00918,Boskaliid,500.0000,g/l
00905,Meksüülklokvintotseet,7.5000,g/l
00905,Pinoksadeen,30.0000,g/l
00905,Florasulaam,1.7500,g/l
00905,Fluroksüpüür,52.5000,g/l
00923,Kloromekvaatkloriid,400.0000,g/l
00912,Kvinmerak,125.0000,g/l
00912,Imasamoks,12.5000,g/l
00912,Aminopüraliid,4.0000,g/l
00880,Kvisalofop-P-etüül,100.0000,g/l
00938,Mesotrioon,100.0000,g/l
00939,Mesotrioon,100.0000,g/l
00945,Dimeteenamiid-P,400.0000,g/l
00945,Klomasoon,50.0000,g/l
00926,Biksafeen,100.0000,g/l
00926,Fluopüraam,100.0000,g/l
00898,Mefenpüür-dietüül,19.0000,g/l
00898,Fenoksaprop-P-etüül,69.0000,g/l
00789,Raudfosfaat,9.9000,g/kg
00910,Florasulaam,50.0000,g/l
00903,Giberelliinhape,90.0000,g/kg
00878,Tsüprodiniil,375.0000,g/kg
00878,Fludioksoniil,250.0000,g/kg
00820,"2,4-D",600.0000,g/l
00821,"2,4-D",600.0000,g/l
00921,Asoksüstrobiin,250.0000,g/l
00922,Asoksüstrobiin,250.0000,g/l
00876,Metasakloor,400.0000,g/l
534,Florasulaam,50.0000,g/l
00790,Florasulaam,50.0000,g/l
200,Sulfosulfuroon,750.0000,g/kg
00954,Beflubutamiid,500.0000,g/l
00887,Metasakloor,333.0000,g/l
00887,Kvinmerak,83.0000,g/l
00975,Raudfosfaat,10.0000,g/kg
00919,Metasakloor,500.0000,g/l
00860,Kvisalofop-P-etüül,50.0000,g/l
00904,Raudfosfaat,9.9000,g/kg
00888,Kloromekvaatkloriid,750.0000,g/l
661,Florasulaam,250.0000,g/kg
00740,Protiokonasool,250.0000,g/l
00764,Boskaliid,500.0000,g/kg
00780,Boskaliid,500.0000,g/kg
00775,Aklonifeen,600.0000,g/l
613,Tebukonasool,250.0000,g/l
402,Tebukonasool,250.0000,g/l
00774,Tebukonasool,125.0000,g/l
00774,Protiokonasool,125.0000,g/l
00713,Alumiiniumfosfiid,560.0000,g/kg
00753,Püridaat,600.0000,g/l
206,Metamitroon,700.0000,g/l
00855,Fludioksoniil,25.0000,g/l
109,Fludioksoniil,25.0000,g/l
672,Fludioksoniil,25.0000,g/l
672,Sedaksaan,25.0000,g/l
277,Fludioksoniil,250.0000,g/kg
277,Tsüprodiniil,375.0000,g/kg
00783,MCPA,750.0000,g/l
00776,Prosulfokarb,800.0000,g/l
00836,Fludioksoniil,25.0000,g/l
00850,Atseetamipriid,200.0000,g/kg
00816,Kvisalofop-P-etüül,50.0000,g/l
